player_1_score,player_2_score,player_3_score,player_4_score
68,91,58,60
78,54,54,87
76,71,48,44
93,43,77,49
81,60,68,96
57,69,64,38
134,84,63,118
99,45,57,49
70,79,62,47
69,68,69,53
101,102,44,67
95,104,106,65
91,53,55,62
90,51,65,43
102,62,69,64
89,55,54,37
62,80,53,52
76,39,112,50
78,72,41,141
79,48,56,55
69,58,62,73
85,59,86,72
130,57,60,49
67,72,74,50
87,106,71,101
54,77,68,107
77,66,39,69
92,74,43,56
122,58,47,105
99,68,110,123
122,61,155,60
85,79,62,62
74,68,76,80
76,51,68,60
218,78,49,60
71,45,75,55
124,116,49,59
88,55,69,58
88,101,57,52
109,65,72,110
51,68,48,76
128,52,41,39
76,63,139,53
94,44,113,64
62,46,111,64
136,121,50,63
78,36,68,114
102,53,40,66
89,44,72,50
74,67,34,50
127,46,80,58
148,69,51,58
79,99,83,59
89,81,69,38
64,110,42,38
84,61,85,42
118,45,52,77
74,41,55,47
77,49,135,63
66,56,94,58
139,126,43,43
101,53,128,60
74,62,106,55
71,46,65,121
81,103,107,54
87,56,78,49
86,66,128,39
68,77,60,48
85,64,57,56
73,105,71,92
85,68,48,47
145,47,131,47
68,127,95,97
105,71,61,61
121,62,42,117
87,42,110,57
65,69,59,55
68,53,44,60
130,60,58,67
74,145,44,47
97,63,61,154
118,70,92,39
104,41,78,38
71,50,70,53
122,120,52,68
84,48,58,60
90,52,72,72
123,58,60,55
88,50,51,28
67,62,109,39
120,72,51,40
88,53,90,52
74,118,65,53
132,61,43,53
86,74,47,34
83,52,69,49
87,81,51,52
83,49,50,63
72,81,68,56
90,57,108,56
92,59,55,52
91,58,45,51
95,94,58,63
74,54,203,70
98,103,62,58
87,72,47,103
71,76,51,63
91,32,53,43
88,46,43,75
115,132,66,39
38,123,81,48
44,234,61,47
108,41,56,54
76,72,65,96
63,41,91,76
124,62,116,42
84,55,118,56
84,78,61,52
140,60,63,58
111,76,64,39
74,68,102,57
88,64,59,101
103,80,80,101
78,47,77,53
78,79,56,50
93,54,52,45
130,61,58,84
104,46,76,53
124,52,52,50
107,41,72,44
65,65,117,44
126,117,58,87
101,45,44,30
81,105,128,30
75,104,68,67
95,102,52,34
73,101,61,35
92,71,57,50
87,65,53,65
65,63,58,44
81,72,67,39
89,102,47,54
84,106,58,49
54,59,128,57
82,57,61,52
100,61,49,61
142,43,50,77
82,105,53,66
105,43,48,68
86,68,56,48
61,103,64,69
80,64,54,45
82,59,121,67
75,59,118,43
73,59,58,37
90,52,30,77
92,115,34,64
83,110,59,69
124,140,110,112
80,78,40,39
88,56,38,54
140,132,62,67
67,139,118,48
150,69,54,114
85,62,56,61
88,52,75,84
137,66,65,41
60,87,58,64
128,61,59,52
68,170,85,64
100,79,70,168
89,57,50,60
91,78,73,94
179,62,66,40
66,54,44,50
120,128,47,49
79,115,43,45
83,61,49,68
77,60,85,145
66,67,62,125
106,46,124,53
78,36,66,66
152,58,58,50
71,56,61,52
153,60,62,54
110,113,55,70
77,65,49,55
118,57,93,40
122,58,58,105
122,56,79,47
88,65,64,57
131,104,81,34
74,73,70,50
95,65,76,43
91,117,44,44
79,50,58,67
138,77,58,45
67,62,60,82
73,72,46,41
66,50,58,76
92,77,53,51
92,97,41,74
76,107,44,59
81,55,48,51
70,65,62,50
64,52,73,63
72,55,45,65
90,59,58,70
61,48,92,67
141,73,51,31
67,116,55,103
71,93,61,50
77,115,91,37
79,40,105,66
156,47,42,81
67,73,70,111
76,65,59,145
84,63,77,51
122,40,122,55
79,61,85,29
52,46,78,46
71,56,103,60
130,39,74,67
121,55,47,58
83,56,97,69
107,64,58,46
93,41,65,120
90,52,106,60
102,42,129,48
84,100,58,46
134,49,86,62
78,49,64,50
69,56,110,58
128,60,72,53
136,71,53,34
194,42,50,37
95,49,55,60
71,67,61,37
77,73,41,55
84,115,65,118
145,67,47,59
148,45,76,64
95,62,46,100
79,83,101,53
79,103,74,79
62,116,136,55
86,99,48,61
90,61,85,98
65,107,60,56
81,64,55,124
139,50,65,62
45,92,43,65
135,47,60,54
68,59,50,78
89,40,65,99
83,49,50,48
87,50,71,64
103,57,79,57
64,50,70,42
125,64,56,63
206,63,65,52
66,128,60,54
58,59,54,66
79,50,83,46
67,77,73,56
87,56,95,87
76,124,72,91
61,73,64,114
125,71,46,83
133,51,70,65
83,57,73,49
86,65,66,85
62,66,62,79
82,70,57,43
75,106,72,45
48,79,121,56
87,49,81,68
81,49,69,122
95,54,53,91
87,44,57,71
105,49,60,48
120,39,108,43
129,106,118,42
87,75,49,68
61,58,54,55
137,76,62,64
94,56,81,99
79,70,68,43
122,51,98,83
88,59,50,48
55,78,57,54
84,47,42,50
129,64,54,90
175,62,66,48
74,58,50,69
70,99,63,55
91,73,57,91
79,51,39,108
78,57,84,48
80,84,49,58
110,42,78,43
127,63,54,57
141,40,42,62
87,55,59,67
108,133,49,42
55,117,52,73
50,75,50,49
95,51,47,51
120,41,78,51
147,136,50,57
74,100,58,43
46,61,71,44
100,42,68,51
87,99,60,115
159,54,51,41
76,55,106,88
84,75,57,74
75,49,67,102
74,58,79,58
75,46,98,59
185,113,55,67
59,52,122,46
104,59,68,66
124,95,91,74
96,158,54,118
106,34,62,65
71,53,67,86
60,129,82,50
85,54,65,66
70,47,70,105
92,67,56,102
88,44,77,124
231,78,66,45
130,60,53,57
76,63,62,54
104,40,95,52
80,107,112,56
118,116,52,100
137,58,50,116
132,64,46,111
79,68,50,64
70,65,49,59
83,67,55,57
73,105,65,41
76,100,87,39
43,132,47,114
68,65,35,77
80,42,153,45
67,161,79,103
80,118,55,63
124,50,157,79
98,67,45,73
85,49,64,67
70,62,69,89
127,71,59,47
76,52,70,43
83,47,59,56
126,91,77,98
63,49,78,46
76,45,83,56
118,69,59,31
75,65,56,53
80,96,56,85
102,99,46,83
120,71,50,51
71,116,73,44
88,68,42,47
148,100,56,57
122,64,63,56
88,57,66,50
92,54,59,47
122,59,36,47
80,44,55,37
70,50,80,70
87,72,50,112
81,58,52,69
